Class;Count;Latency (ms);Radio Coverage (m);Message Frequency (ms);Message Period (ms);Prio;Priority;Messaging Type;MeCount;Color
Access;1;500;500;1;100;1;Mid;Periodic broadcast;1;purple
Access;1;500;500;10;100;2;Mid/Low;Periodic broadcast;1;purple
Access;1;200;500;1;1000;1;Low;Periodic broadcast, unicast;1;purple
Access;1;500;500;1;1000;1;Low;Unicast broadcast;1;purple
Confort;2;500;500;10;100;2;id/Low;Periodic broadcast;1;purple
Confort;2;500;500;1;100;2;id/Low;Periodic broadcast;1;purple
Confort;2;500;500;1;1000;1;Low;Periodic broadcast, unicast;1;purple
Confort;2;500;500;1;100;1;Low;Unicast broadcast;1;purple
Confort;2;500;500;1;1000;1;Low;Unicast, broadcast, on-deand;1;purple
Confort;2;500;500;1;1000;1;Low;Unicast, broadcast, on-deand;1;purple
Confort;2;100;500;2;100;3;Mid;Unicast, broadcast, on-deand;1;purple
Confort;2;500;500;2;100;3;Mid;Unicast, broadcast, on-deand;1;purple
Confort;2;500;500;1;1000;3;Mid;Unicast, broadcast, on-deand;1;purple
Data Collection (as an end in itself);3;100;250;1;100;4;High;Event-triggered, tie-liited broadcast;1;purple
Data Collection (as an end in itself);3;1000;500;10;100;4;High;Event-triggered, tie-liited broadcast;1;purple
Data Collection (as an end in itself);3;200;500;1;1000;1;Low;Periodic broadcast, unicast;2;purple
Econoical;4;500;500;1;100;3;Mid;Periodic broadcast;2;purple
Econoical;4;200;500;1;1000;1;Low;Periodic broadcast, unicast;2;purple
Econoical;4;500;500;1;1000;1;Low;Periodic broadcast, unicast;2;purple
Econoical;4;500;500;1;1000;1;Low;Periodic broadcast, unicast;2;purple
Econoical;4;500;500;2;100;3;Mid;Unicast, broadcast, on-deand;2;purple
Econoical;4;500;500;1;1000;3;Mid;Unicast, broadcast, on-deand;2;purple
Efficiency;5;100;250;1;100;4;High;Event-triggered, tie-liited broadcast;2;purple
Efficiency;5;100;250;2;100;4;High;Event-triggered, tie-liited broadcast;3;purple
Efficiency;5;1000;500;10;100;4;High;Event-triggered, tie-liited broadcast;3;purple
