Type;Technologie;Color;;;;;;;;;;;;;;
V2V;UMTS;lightskyblue;;;;;;;;;;;;;;
V2V;WiMAX;lightskyblue;;;;;;;;;;;;;;
V2V;GPS;lightskyblue;;;;;;;;;;;;;;
V2V;5G;lightskyblue;;;;;;;;;;;;;;
V2V;WIFI;lightskyblue;;;;;;;;;;;;;;
V2V;Wave;lightskyblue;;;;;;;;;;;;;;
V2V;DSRC;lightskyblue;;;;;;;;;;;;;;
V2V;Radio-Frequency;lightskyblue;;;;;;;;;;;;;;
V2V;ZigBee;lightskyblue;;;;;;;;;;;;;;
V2V;Bluethooth;lightskyblue;;;;;;;;;;;;;;
V2I;Bluethooth;lightcoral;;;;;;;;;;;;;;
V2I;ZigBee;lightcoral;;;;;;;;;;;;;;
V2P;Bluethooth;lightgreen;;;;;;;;;;;;;;
V2P;DSRC;lightgreen;;;;;;;;;;;;;;
V2P;WIFI;lightgreen;;;;;;;;;;;;;;
V2P;5G;lightgreen;;;;;;;;;;;;;;
V2P;GPS;lightgreen;;;;;;;;;;;;;;
V2P;Video Recognition;lightgreen;;;;;;;;;;;;;;
V2I;DSRC;lightcoral;;;;;;;;;;;;;;
V2I;WIFI;lightcoral;;;;;;;;;;;;;;
V2I;5G;lightcoral;;;;;;;;;;;;;;
V2I;WiMAX;lightcoral;;;;;;;;;;;;;;
V2I;UMTS;lightcoral;;;;;;;;;;;;;;
