Application;MBWA;MicroWave;NBIot;SigFox (Rural);SigFox (Urban);WiMax
AAC;Yes;Yes;Yes;Yes;Yes;Yes
ATTCRW;Yes;Yes;Yes;-;-;Yes
CACC;-;-;Yes;-;-;Yes
CFCW;-;-;Yes;-;-;Yes
CGR;-;-;Yes;-;-;Yes
CLCA;-;-;Yes;-;-;Yes
CLW;-;-;Yes;-;-;Yes
CMA;Yes;Yes;Yes;-;-;Yes
CRWRSU;Yes;Yes;Yes;-;-;Yes
CSL;Yes;Yes;Yes;-;-;Yes
CTR;Yes;Yes;Yes;Yes;Yes;Yes
CVHAS;Yes;Yes;Yes;-;-;Yes
DS;Yes;Yes;Yes;Yes;Yes;Yes
EDCV;Yes;Yes;Yes;Yes;Yes;Yes
EEBL;-;-;Yes;-;-;Yes
ERGN;Yes;Yes;Yes;Yes;Yes;Yes
ETC;Yes;Yes;Yes;-;-;Yes
EVSP;Yes;Yes;Yes;Yes;Yes;Yes
EVW;Yes;Yes;Yes;-;-;Yes
FADL;-;-;Yes;Yes;Yes;Yes
FM;Yes;Yes;Yes;Yes;Yes;Yes
HCW;Yes;Yes;Yes;-;-;Yes
HLN;Yes;Yes;Yes;-;-;Yes
ICW;Yes;Yes;Yes;-;-;Yes
IFS;Yes;Yes;Yes;Yes;Yes;Yes
IM;Yes;Yes;Yes;Yes;Yes;Yes
InM;Yes;Yes;Yes;Yes;Yes;Yes
IS;Yes;Yes;Yes;Yes;Yes;Yes
LAW;Yes;Yes;Yes;Yes;Yes;Yes
LEC;Yes;Yes;Yes;Yes;Yes;Yes
LZM;Yes;Yes;Yes;Yes;Yes;Yes
MD;Yes;Yes;Yes;Yes;Yes;Yes
MDU;Yes;Yes;Yes;Yes;Yes;Yes
MTTCRW;Yes;Yes;Yes;-;-;Yes
MW;-;-;Yes;-;-;Yes
OVW;-;-;Yes;-;-;Yes
PA;Yes;Yes;Yes;Yes;Yes;Yes
PCSW;-;-;-;-;-;Yes
PCW;Yes;Yes;Yes;-;-;Yes
PIN;Yes;Yes;Yes;Yes;Yes;Yes
RD;Yes;Yes;Yes;Yes;Yes;Yes
RW;Yes;Yes;Yes;-;-;Yes
SiVW;Yes;Yes;Yes;-;-;Yes
SlVW;-;-;Yes;-;-;Yes
SM;Yes;Yes;Yes;Yes;Yes;Yes
SOSS;Yes;Yes;Yes;Yes;Yes;Yes
StVW;-;-;Yes;-;-;Yes
SVA;Yes;Yes;Yes;Yes;Yes;Yes
TIRI;Yes;Yes;Yes;Yes;Yes;Yes
TLOSP;Yes;Yes;Yes;-;-;Yes
TOD;Yes;Yes;Yes;-;-;Yes
TVSP;Yes;Yes;Yes;Yes;Yes;Yes
VRSUDC;Yes;Yes;Yes;Yes;Yes;Yes
VRUW;Yes;Yes;Yes;-;-;Yes
VS;Yes;Yes;Yes;Yes;Yes;Yes
WWDW;Yes;Yes;Yes;-;-;Yes
