Étiquettes de lignes;DSRC/Wave;WIFI
AAC;Yes;Yes
ATTCRW;-;-
CACC;-;Yes
CFCW;-;Yes
CGR;-;Yes
CLCA;-;-
CLW;-;-
CMA;-;-
CRWRSU;-;-
CSL;-;Yes
CTR;Yes;Yes
CVHAS;-;Yes
DS;Yes;-
EDCV;Yes;Yes
EEBL;-;-
ERGN;Yes;Yes
ETC;Yes;Yes
EVSP;Yes;Yes
EVW;-;-
FADL;Yes;Yes
FM;Yes;Yes
HCW;-;-
HLN;-;-
ICW;-;-
IFS;Yes;Yes
IM;Yes;Yes
InM;Yes;Yes
IS;Yes;Yes
LAW;Yes;Yes
LEC;Yes;Yes
LZM;Yes;Yes
MD;Yes;Yes
MDU;Yes;Yes
MTTCRW;-;-
MW;-;Yes
OVW;-;-
PA;Yes;Yes
PCSW;-;-
PCW;-;-
PIN;Yes;Yes
RD;Yes;Yes
RW;-;-
SiVW;-;-
SlVW;-;Yes
SM;Yes;Yes
SOSS;Yes;Yes
StVW;-;-
SVA;Yes;Yes
TIRI;Yes;Yes
TLOSP;-;Yes
TOD;-;Yes
TVSP;Yes;Yes
VRSUDC;Yes;Yes
VRUW;-;Yes
VS;Yes;Yes
WWDW;-;-
Total général;28;37
-;-;-
