Applications;Bluetooth;BLE;UWB;ZigBee
AAC;-;-;-;-
ATTCRW;-;-;-;-
CACC;-;-;-;-
CFCW;-;-;-;-
CGR;-;Yes;Yes;Yes
CLCA;-;-;-;-
CLW;-;-;-;-
CMA;-;-;-;-
CRWRSU;-;-;-;-
CSL;-;-;-;-
CTR;-;-;-;-
CVHAS;-;-;-;-
DS;-;-;-;-
EDCV;-;-;-;-
EEBL;-;-;-;-
ERGN;-;-;-;-
ETC;-;-;-;-
EVSP;-;-;-;-
EVW;-;-;-;-
FADL;-;-;-;-
FM;-;-;-;-
HCW;-;-;-;-
HLN;-;-;-;-
ICW;-;-;-;-
IFS;-;-;-;-
IM;-;-;-;-
InM;-;-;-;-
IS;-;-;-;-
LAW;-;-;-;-
LEC;-;-;-;-
LZM;-;-;-;-
MD;-;-;-;-
MDU;-;-;-;-
MTTCRW;-;-;-;-
MW;-;-;Yes;Yes
OVW;-;-;-;-
PA;-;-;-;-
PCSW;-;-;Yes;Yes
PCW;-;-;-;-
PIN;-;-;-;-
RD;-;-;-;-
RW;-;-;-;-
SiVW;-;-;-;-
SlVW;-;-;Yes;Yes
SM;-;-;-;-
SOSS;-;-;-;-
StVW;-;-;-;-
SVA;-;-;-;-
TIRI;-;-;-;-
TLOSP;-;-;-;-
TOD;-;-;-;-
TVSP;-;-;-;-
VRSUDC;-;-;-;-
VRUW;-;-;Yes;Yes
VS;-;-;-;-
WWDW;-;-;-;-
Total général;-;Yes;5;5
-;-;-;-;-
