Name;Name_Num;Application_Class;Application_Num;Functions;Functions_Num;Application;Number_of_articles;Color
Vehice relation management;#VALEUR!;Confort;3;Nan;8;Application;1;seagreen
SOS service;#VALEUR!;Confort;3;Nan;8;Application;2;seagreen
Personal data synchronization;#VALEUR!;Confort;3;Nan;8;Application;1;seagreen
Media downloading;#VALEUR!;Confort;3;Nan;8;Application;4;seagreen
Insurance and financial services;#VALEUR!;Confort;3;Nan;8;Application;1;seagreen
Instant messaging;#VALEUR!;Confort;3;Nan;8;Application;1;seagreen
Sensor Sharing;#VALEUR!;Data Collection (as an end in itself);4;Cooperative Sensing;3;Application;4;hotpink
Vehicle and RSU data collection;#VALEUR!;Data Collection (as an end in itself);4;Cooperative Sensing;3;Application;3;hotpink
Video see-through systems;#VALEUR!;Data Collection (as an end in itself);4;Cooperative Sensing;3;Application;2;hotpink
Loading zone management;#VALEUR!;Data Collection (as an end in itself);4;Integrated Corridor Management Systems;6;Application;1;hotpink
Vehicle data collection for product life cycle management;#VALEUR!;Data Collection (as an end in itself);4;Integrated Corridor Management Systems;6;Application;1;hotpink
Remote diagnosis and just in time repair notification;#VALEUR!;Data Collection (as an end in itself);4;Powertrain Optimization;8;Application;2;hotpink
Vehicle software/date provisoning and update;#VALEUR!;Data Collection (as an end in itself);4;Nan;8;Application;1;hotpink
Vehice relation management;#VALEUR!;Data Collection (as an end in itself);4;Nan;8;Application;1;hotpink
Personal data synchronization;#VALEUR!;Data Collection (as an end in itself);4;Nan;8;Application;1;hotpink
Fleet management;#VALEUR!;Data Collection (as an end in itself);4;Nan;8;Application;1;hotpink
Connected Automated Parking;#VALEUR!;Data Collection (as an end in itself);4;Nan;8;Application;3;hotpink
Global Internet Services;#VALEUR!;Data Collection (as an end in itself);7;Nan;8;Application;1;hotpink
Co-operative adaptative cruise control;#VALEUR!;Efficiency;5;Cooperative Maneuver;2;Application;5;rgba(31, 119, 180, 0.8)
Platoon;#VALEUR!;Efficiency;5;Cooperative Maneuver;2;Application;7;rgba(31, 119, 180, 0.8)
Co-operative adaptative cruise control;#VALEUR!;Efficiency;5;Cooperative Situational Awareness;4;Application;5;rgba(31, 119, 180, 0.8)
Co-operative flexible lane change;#VALEUR!;Efficiency;5;Cooperative Situational Awareness;4;Application;3;rgba(31, 119, 180, 0.8)
Co-operative glare reduction;#VALEUR!;Efficiency;5;Cooperative Situational Awareness;4;Application;2;rgba(31, 119, 180, 0.8)
Co-operative vehicle-highway automation system (Platoon);#VALEUR!;Efficiency;5;Cooperative Situational Awareness;4;Application;2;rgba(31, 119, 180, 0.8)
Platoon;#VALEUR!;Efficiency;5;Cooperative Situational Awareness;4;Application;7;rgba(31, 119, 180, 0.8)
Slow vehicle warning;#VALEUR!;Efficiency;5;Cooperative Situational Awareness;4;Application;2;rgba(31, 119, 180, 0.8)
Fleet management;#VALEUR!;Efficiency;5;Integrated Corridor Management Systems;6;Application;1;rgba(31, 119, 180, 0.8)
Intersection management;#VALEUR!;Efficiency;5;Integrated Corridor Management Systems;6;Application;3;rgba(31, 119, 180, 0.8)
Traffic light optimal speed advisory;#VALEUR!;Efficiency;5;Nan;8;Application;1;rgba(31, 119, 180, 0.8)
Traffic information and recommended itinerary;#VALEUR!;Efficiency;5;Nan;8;Application;2;rgba(31, 119, 180, 0.8)
Traffic condition warning / floating car data;#VALEUR!;Efficiency;5;Nan;8;Application;4;rgba(31, 119, 180, 0.8)
Speed Management;#VALEUR!;Efficiency;5;Nan;8;Application;1;rgba(31, 119, 180, 0.8)
Roadwork warning;#VALEUR!;Efficiency;5;Nan;8;Application;1;rgba(31, 119, 180, 0.8)
Regulatory/contextual speed limits;#VALEUR!;Efficiency;5;Nan;8;Application;1;rgba(31, 119, 180, 0.8)
Limited access warning detour notification;#VALEUR!;Efficiency;5;Nan;8;Application;2;rgba(31, 119, 180, 0.8)
In-vehicle signage;#VALEUR!;Efficiency;5;Nan;8;Application;1;rgba(31, 119, 180, 0.8)
Enhanced route guidance guidance and navigation;#VALEUR!;Efficiency;5;Nan;8;Application;1;rgba(31, 119, 180, 0.8)
Emergency electronic brake lights;#VALEUR!;Efficiency;5;Nan;8;Application;13;rgba(31, 119, 180, 0.8)
Electronic toll collect;#VALEUR!;Efficiency;5;Nan;8;Application;3;rgba(31, 119, 180, 0.8)
Cooperative intersection control;#VALEUR!;Efficiency;7;Cooperative Maneuver;2;Application;4;rgba(31, 119, 180, 0.8)
