Name;Latency;Priority;Value;Val;Color
Emergency electronic brake lights;< 100 ms;High;1;30;lightcoral
Safety function out of normal condition warning;< 100 ms;High;1;30;lightcoral
Emergency vehicle warning;< 100 ms;High;1;30;lightcoral
Slow vehicle warning;< 100 ms;High;1;30;lightcoral
Motorcycle warning;< 100 ms;High;1;30;lightcoral
Vulnerable road user warning;< 100 ms;High;1;30;lightcoral
Wrong way driving warning;< 100 ms;High;1;30;lightcoral
Stationary vehicle warning;< 100 ms;High;1;30;lightcoral
Post-crash warning;< 100 ms;High;1;30;lightcoral
Signal violation warning;< 100 ms;High;1;30;lightcoral
Roadwork warning;< 100 ms;High;1;30;lightcoral
Cooperative Safety Zone;< 100 ms;High;1;30;lightcoral
Overtaking vehicle warning;< 100 ms;High;1;30;lightcoral
Lane change assistance;< 100 ms;High;1;30;lightcoral
Blind Spot Warning;< 100 ms;High;1;30;lightcoral
Co-operative glare reduction;< 100 ms;High;1;30;lightcoral
Across traffic turn collision risk warning;< 100 ms;High;1;30;lightcoral
Left Turn Assist (A combiner);< 100 ms;High;1;30;lightcoral
Intersection Movement Assist;< 100 ms;High;1;30;lightcoral
Merging traffic turn collision risk warning;< 100 ms;High;1;30;lightcoral
Co-operative merging assistance;< 100 ms;High;1;30;lightcoral
Hazardous location notification;< 100 ms;High;1;30;lightcoral
Collision risk warning from RSU;< 100 ms;High;1;30;lightcoral
Intersection collision warning;< 100 ms;High;1;30;lightcoral
Head on collision warning;< 100 ms;High;1;30;lightcoral
Rear end collision warning;< 100 ms;High;1;30;lightcoral
Control Loss Warning;< 100 ms;High;1;30;lightcoral
Co-operative forward collision warning;< 100 ms;High;1;30;lightcoral
Traffic light optimal speed advisory;< 100 ms;High;1;30;lightcoral
Emergency vehicle signal preemption;< 100 ms;High;1;30;lightcoral
Co-operative adaptative cruise control;< 100 ms;Mid;1;3;lightcoral
Co-operative vehicle-highway automation system (Platoon);< 100 ms;Mid;1;3;lightcoral
Platoon;< 100 ms;Mid;1;3;lightcoral
Electronic toll collect;< 200 ms;Mid/Low;1;1;darkkhaki
Cooperative intersection control;< 300 ms;Mid/Low;1;1;darkkhaki
Pre-crash sensing warning;< 50 ms;High;1;1;darkred
Collision Warning;< 50 ms - 100 ms;High;1;1;darkred
Traffic condition warning / floating car data (inc ecological);< 500 ms;Mid;1;4;lightsalmon
Decentralized floating car data;< 500 ms;Mid;1;4;lightsalmon
Regulatory/contextual speed limits;< 500 ms;Mid;1;4;lightsalmon
Speed Management (inc eco-driving);< 500 ms;Mid;1;4;lightsalmon
Ecological/economical data collection from vehicle;< 500 ms;Mid/Low;1;29;lightsalmon
Traffic information and recommended itinerary;< 500 ms;Mid/Low;1;29;lightsalmon
Enhanced route guidance guidance and navigation;< 500 ms;Mid/Low;1;29;lightsalmon
Limited access warning, detour notification;< 500 ms;Mid/Low;1;29;lightsalmon
Lane management;< 500 ms;Mid/Low;1;29;lightsalmon
Transit vehicle signal priority;< 500 ms;Mid;1;1;lightsalmon
Intersection management;< 500 ms;Mid/Low;1;29;lightsalmon
Flexible allocation of a dedicated lane;< 500 ms;Mid/Low;1;29;lightsalmon
In-vehicle signage;< 500 ms;Mid/Low;1;29;lightsalmon
Point of interest notification;< 500 ms;Mid/Low;1;29;lightsalmon
Automatic access control/parking access;< 500 ms;Mid/Low;1;29;lightsalmon
Co-operative local services;< 500 ms;Mid/Low;1;29;lightsalmon
Local electronic commerce;< 500 ms;Mid/Low;1;29;lightsalmon
Car rental/sharing assignment/reporting;< 500 ms;Mid/Low;1;29;lightsalmon
Media downloading;< 500 ms;Mid/Low;1;29;lightsalmon
Map download and update;< 500 ms;Mid/Low;1;29;lightsalmon
Instant messaging;< 500 ms;Mid/Low;1;29;lightsalmon
Personal data synchronization;< 500 ms;Mid/Low;1;29;lightsalmon
SOS service;< 500 ms;Mid/Low;1;29;lightsalmon
Stolen vehicle alert;< 500 ms;Mid/Low;1;29;lightsalmon
Remote diagnosis and just in time repair notification;< 500 ms;Mid/Low;1;29;lightsalmon
Vehice relation management;< 500 ms;Mid/Low;1;29;lightsalmon
Vehicle data collection for product life cycle management;< 500 ms;Mid/Low;1;29;lightsalmon
Insurance and financial services;< 500 ms;Mid/Low;1;29;lightsalmon
Fleet management (inc taxi/ridehailing);< 500 ms;Mid/Low;1;29;lightsalmon
Tele-operated driving;< 500 ms;Mid/Low;1;29;lightsalmon
Vehicle software/date provisoning and update;< 500 ms;Mid/Low;1;29;lightsalmon
Loading zone management;< 500 ms;Mid/Low;1;29;lightsalmon
Vehicle and RSU data calibration;< 500 ms;Mid/Low;1;29;lightsalmon
Low Emissions Zone Management;< 500 ms;Mid/Low;1;29;lightsalmon
Curve Speed Warning;<1s;Mid/Low;1;1;lightsalmon
Sensor/data Sharing;3 ms - 1s;High;1;1;lightgreen
Automated Parking;3 ms - 1s;Low;1;2;lightgreen
Video see-through systems;3 ms - 1s;Low;1;2;lightgreen
Global Internet Services;< 500 ms;Mid/Low;1;1;lightsalmon
