,Application/Use Case,,Statistic,,Application Category,,,,,,,,,,,,,,,,Critical/priority,,"Other Involved User Types, inc detected",,,,,,,,Road Types,,,Environment,,Application Mechanisms,,,KPI,,,,,,,,,,Communication Mode,,,,,,,
Name,Acronym,Article Ref ,Articles,Number of articles,Safety,Efficiency,Parking,Security / Public Safety,Environnement,Entertainment,Comfort,Data Collection,Freight,Energy,Vehicle Maintenance,Economic,Access,Shared Transport,Traveler Information,,Critical,Non-Critical,Passenger,Commercial Vehicle Driver,Cyclist,Motorcyclist,Pedestrian,Public Transit,Driver/Car,Emergency vehicle,Limited Access Highways,Roads with at-grade crossings,Intersections,Urban,Rural,Automated,Connected information,Connected coordination,Max latency (ms),Range,Accuracy,Message Frequency (msg/sec),Data Rate,Message Period (ms),Message size up (bits),Priority,Messaging Type,VANET messages,V2X,V2I,V2V,V2P,V2N,Other names,Comments,Count
Across traffic turn collision risk warning,ATTCRW,17,"17 , 21 , 30 , 31 , 35 , 36 , 38 , 94",8,Yes,,,,,,,,,,,,,,,1,,,,,,,,,Yes,,,,Yes,,,,Yes,,100,300,,10,2540,100,254,High,,BSM,Yes,Yes,Yes,,,,,1
Automatic access control/parking access,AAC,17,17,1,,,Yes,,,,,,,,,,Yes,,,2,,,,,,,,,Yes,,,Yes,Yes,,,,Yes,,500,200,,1,0,1000,,Low,,,,Yes,,,,,,1
Car rental/sharing assignment/reporting,CTR,17,"17 , 26",2,,,Yes,,,,,,Yes,,,Yes,,Yes,,4,,,Yes,,,,,,Yes,,,Yes,,,,,Yes,,500,200,,1,0,1000,,Low,,,,Yes,,,,,,1
Co-operative adaptative cruise control,CACC,17.94,"17 , 18 , 20 , 38 , 57 , 65 , 94",7,,Yes,,,Yes,,,,,Yes,,,,,,3,,,,,,,,,Yes,,Yes,Yes,,,,Yes,Yes,Yes,100,200,,2,500000,500,,Mid,Unicast broadcast,,Yes,,Yes,,,,,1
Co-operative forward collision warning,CFCW,17,"17 , 18 , 20 , 25 , 26 , 29 , 32 , 34 , 35 , 36, 40 , 42 , 43, 53,61,89,90 , 94",17,Yes,,,,,,,,,,,,,,,1,Yes,,,,,,,,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,100,150,< 1 m,10,96000,100,254,High,"Periodic, event-triggered broadcast, unicast",BSM, ,,Yes,,,,,1
Co-operative glare reduction,CGR,17,"17 , 20 ",2,Yes,Yes,,,,,,,,,,,,,,2,,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,Yes,100,20,,2,508,500,254,High,,BSM,Yes,,Yes,,,,,1
Co-operative lane change assistance,CLCA,17,"17 , 18 ,21, 25,30, 32, 34 , 35 , 38 , 40 , 94 , 77",11,Yes,,,,,,,,,,,,,,,1,Yes (Blind Spot Warning),Yes,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,Yes,100,300,< 2 m,10,50000,100,254,High,Periodic broadcast,BSM, ,,Yes,,,,,1
Co-operative merging assistance,CMA,17,"17 , 18 , 21 , 30 , 32",5,Yes,,,,,,,,,,,,,,,1,,,,,,,,,Yes,,Yes,,,,,,Yes,Yes,100,300,,10,2540,100,254,High,,BSM,Yes,Yes,Yes,,,,,1
Co-operative vehicle-highway automation system (Platoon),CVHAS,17,"17 , 20",2,,Yes,,,Yes,,,,,Yes,,,,,,3,,,,,,,,,Yes,,Yes,Yes,,,,Yes,Yes,Yes,100,200,,2,500000,500,,Low,,,Yes,Yes,Yes,,,,,1
Collision risk warning from RSU,CRWRSU,17,"17 , 21",2,Yes,,,,,,,,,,,,,,,1,,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,100,300,,10,2540,100,254,High,,BSM,,Yes,Yes,,,,,1
Control Loss Warning,CLW,32,32,1,Yes,,,,,,,,,,,,,,,1,,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,100,300,,10,2540,100,254,High,,BSM,,,Yes,,,,,1
Ecological/economic data collection from vehicle,EDCV,17,"17 , 18 , 65",3,,,,,Yes,,Yes,,,Yes,,Yes,,,,4,,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,500,200,,1,0,1000,,Mid,"Unicast, broadcast, on-demand",,Yes,Yes,Yes,,,,inclut product life cycle management,1
Electronic toll collect,ETC,17,"17 , 18 , 20",3,,,,,,,,Yes,Yes,,,Yes,Yes,,,4,,,,,,,,,Yes,,Yes,,,,,,Yes,,200,200,,1,0,1000,,Low,"Periodic broadcast, unicast",,,Yes,,,,,,1
Emergency electronic brake lights,EEBL,17,"17 , 18 , 20 , 21 , 22 , 25 , 27 , 30,31, 32  , 36 , 38 , 94",13,Yes,,,,,,,,,,,,,,,1,Yes,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,100,300,,10,96000,100,254,High,"Event-triggered, time-limited broadcast",BSM, ,,Yes,,,,,1
Emergency vehicle signal preemption,EVSP,30,30.88,2,Yes,Yes,,Yes,,,,,,,,,,,,3,,,,,,,,,,Yes,,,Yes,,,,Yes,,500,200,,1,2000000,100,,Mid,,,,Yes,,,,,,1
Emergency vehicle warning,EVW,17,"17 , 29, 30 , 32 , 84",5,Yes,,,,,,,,,,,,,,,1,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,Yes,,100,300,,10,2540,100,254,High,,BSM,Yes,Yes,Yes,,,,,1
